query,category,mode,k,temp,label,answer,citations,raw_response,used_citation
Can I get a full refund if I cancel within 24 hours of booking?,normal,retrieval_only,NA,NA,REFUND,"Based on the retrieved American Airlines policy text, this situation is eligible for a refund. See: ['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","[aa_non_refundable] delayed or damaged bags Bag delivery Bag delivery FAQ Lost and found Learn how to find your missing item Refunds and receipts Learn how to request a refund or receipt Refunds If I cancel my trip within 24 hours of purchase, can I get a full refund? This content can be expanded You have 24 hours from the time you first buy your ticket for a refund if you booked at least 2 days before departure. The 24-hour refund policy applies to all ticket types, but you have to cancel the trip to get a refund. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Reservations booked as part of group block do not qualify for the 24-hour refund. Refunds will be issued to the original form of payment in full amounts, less: Sale-imposed non-refundable taxes Service charge for booking through Reservations To cancel your trip, find your trip online or log in to your AAdvantage® account. Find your trip Log in to your account I have a refundable ticket I'm not going to use. How can I get a refund? This content can be expanded If you bought your American
[aa_refund_eligibility] delayed or damaged bags Bag delivery Bag delivery FAQ Lost and found Learn how to find your missing item Refunds and receipts Learn how to request a refund or receipt Refunds If I cancel my trip within 24 hours of purchase, can I get a full refund? This content can be expanded You have 24 hours from the time you first buy your ticket for a refund if you booked at least 2 days before departure. The 24-hour refund policy applies to all ticket types, but you have to cancel the trip to get a refund. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Reservations booked as part of group block do not qualify for the 24-hour refund. Refunds will be issued to the original form of payment in full amounts, less: Sale-imposed non-refundable taxes Service charge for booking through Reservations To cancel your trip, find your trip online or log in to your AAdvantage® account. Find your trip Log in to your account I have a refundable ticket I'm not going to use. How can I get a refund? This content can be expanded If you bought your American
[aa_force_majeure] will refund a non-refundable ticket (or the value of the unused segment of your trip) to the original form of payment if: You or the person who bought your ticket cancels within 24 hours of booking (and booked at least 2 days before departure). We cancel your flight We make a schedule change that results in a change of more than 4 hours to your departure time A passenger or their travel companion dies. (Supporting paperwork is required) Military orders require you to cancel your trip. (Supporting paperwork is required) If you bought your ticket through a travel agency or another booking source, contact them for a refund. Refunds of taxes You can request a refund of eligible taxes included in the ticket price. If eligible, we'll refund the original form of payment. Destination-specific taxes not imposed by us may be eligible Taxes we must pay whether or not you travel are not eligible. Request a refund Opens another site in a new window that may not meet accessibility guidelines Refunds for seats, bags and extras If you paid for seats, bags or other extras and don't use them because you didn't travel as planned, you may request a refund.
[aa_flight_delays] will refund a non-refundable ticket (or the value of the unused segment of your trip) to the original form of payment if: You or the person who bought your ticket cancels within 24 hours of booking (and booked at least 2 days before departure). We cancel your flight We make a schedule change that results in a change of more than 4 hours to your departure time A passenger or their travel companion dies. (Supporting paperwork is required) Military orders require you to cancel your trip. (Supporting paperwork is required) If you bought your ticket through a travel agency or another booking source, contact them for a refund. Refunds of taxes You can request a refund of eligible taxes included in the ticket price. If eligible, we'll refund the original form of payment. Destination-specific taxes not imposed by us may be eligible Taxes we must pay whether or not you travel are not eligible. Request a refund Opens another site in a new window that may not meet accessibility guidelines Refunds for seats, bags and extras If you paid for seats, bags or other extras and don't use them because you didn't travel as planned, you may request a refund.
[aa_non_refundable] refund Opens another site in a new window that may not meet accessibility guidelines I have a non-refundable ticket; can I still get a refund? This content can be expanded We don't refund cash for non-refundable tickets. However, we may refund a non-refundable ticket if: You cancel within 24 hours from the time you first buy your ticket, and bought your ticket at least 2 days before departure There is a schedule change of 3 or more hours (domestic) or 4 or more hours (international) and you decide not to travel There is a schedule change of 90 minutes or more within 72 hours of your scheduled departure time and you decide not to travel There is death of the passenger / traveling companion Military orders / change in duty U.S. Department of Transportation (DOT) rules allow you to get a refund if your flight is significantly disrupted and you decline our rebooking offers, even if you bought a non-refundable ticket. Significant flight changes and cancellations Refunds will be made to the original form of payment. Supporting documents may be required. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Unsure",True
Can I get a full refund if I cancel within 24 hours of booking?,normal,rag,2,0.0,REFUND,"The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]","['aa_non_refundable', 'aa_refund_eligibility']","REFUND
The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
Can I get a full refund if I cancel within 24 hours of booking?,normal,rag,2,0.7,REFUND,"The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]","['aa_non_refundable', 'aa_refund_eligibility']","REFUND
The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
Can I get a full refund if I cancel within 24 hours of booking?,normal,rag,5,0.0,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
Can I get a full refund if I cancel within 24 hours of booking?,normal,rag,5,0.7,REFUND,"The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]","['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_non_refundable']","REFUND
The ticket is eligible for a full refund because it was canceled within
24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
Can I get a full refund if I cancel within 24 hours of booking?,normal,llm_only,NA,0.0,ABSTAIN,"The model did not produce a valid label, so I must abstain.",NA,"[CANCELLED]
The question does not provide sufficient information to determine whether a full refund can be obtained for cancellations made within 24 hours of booking. The specifics such as the ticket type, booking time, and cancellation reason are missing. Therefore, it's impossible to make an informed decision without additional details.",NA
Can I get a full refund if I cancel within 24 hours of booking?,normal,llm_only,NA,0.7,ABSTAIN,"The model did not produce a valid label, so I must abstain.",NA,"[CANCELLED]
The standard airline policy for cancellations typically requires at least a 24-hour notice to receive a full refund. Since the question specifies that the cancellation was made within 24 hours, it would be considered non-refundable under most policies.",NA
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,retrieval_only,NA,NA,NO_REFUND,"Based on the retrieved policy text, this type of ticket/situation is not eligible for a refund. See: ['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure']","['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure']","[aa_non_refundable] refund Opens another site in a new window that may not meet accessibility guidelines I have a non-refundable ticket; can I still get a refund? This content can be expanded We don't refund cash for non-refundable tickets. However, we may refund a non-refundable ticket if: You cancel within 24 hours from the time you first buy your ticket, and bought your ticket at least 2 days before departure There is a schedule change of 3 or more hours (domestic) or 4 or more hours (international) and you decide not to travel There is a schedule change of 90 minutes or more within 72 hours of your scheduled departure time and you decide not to travel There is death of the passenger / traveling companion Military orders / change in duty U.S. Department of Transportation (DOT) rules allow you to get a refund if your flight is significantly disrupted and you decline our rebooking offers, even if you bought a non-refundable ticket. Significant flight changes and cancellations Refunds will be made to the original form of payment. Supporting documents may be required. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Unsure
[aa_refund_eligibility] refund Opens another site in a new window that may not meet accessibility guidelines I have a non-refundable ticket; can I still get a refund? This content can be expanded We don't refund cash for non-refundable tickets. However, we may refund a non-refundable ticket if: You cancel within 24 hours from the time you first buy your ticket, and bought your ticket at least 2 days before departure There is a schedule change of 3 or more hours (domestic) or 4 or more hours (international) and you decide not to travel There is a schedule change of 90 minutes or more within 72 hours of your scheduled departure time and you decide not to travel There is death of the passenger / traveling companion Military orders / change in duty U.S. Department of Transportation (DOT) rules allow you to get a refund if your flight is significantly disrupted and you decline our rebooking offers, even if you bought a non-refundable ticket. Significant flight changes and cancellations Refunds will be made to the original form of payment. Supporting documents may be required. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Unsure
[aa_force_majeure] will refund a non-refundable ticket (or the value of the unused segment of your trip) to the original form of payment if: You or the person who bought your ticket cancels within 24 hours of booking (and booked at least 2 days before departure). We cancel your flight We make a schedule change that results in a change of more than 4 hours to your departure time A passenger or their travel companion dies. (Supporting paperwork is required) Military orders require you to cancel your trip. (Supporting paperwork is required) If you bought your ticket through a travel agency or another booking source, contact them for a refund. Refunds of taxes You can request a refund of eligible taxes included in the ticket price. If eligible, we'll refund the original form of payment. Destination-specific taxes not imposed by us may be eligible Taxes we must pay whether or not you travel are not eligible. Request a refund Opens another site in a new window that may not meet accessibility guidelines Refunds for seats, bags and extras If you paid for seats, bags or other extras and don't use them because you didn't travel as planned, you may request a refund.
[aa_flight_delays] will refund a non-refundable ticket (or the value of the unused segment of your trip) to the original form of payment if: You or the person who bought your ticket cancels within 24 hours of booking (and booked at least 2 days before departure). We cancel your flight We make a schedule change that results in a change of more than 4 hours to your departure time A passenger or their travel companion dies. (Supporting paperwork is required) Military orders require you to cancel your trip. (Supporting paperwork is required) If you bought your ticket through a travel agency or another booking source, contact them for a refund. Refunds of taxes You can request a refund of eligible taxes included in the ticket price. If eligible, we'll refund the original form of payment. Destination-specific taxes not imposed by us may be eligible Taxes we must pay whether or not you travel are not eligible. Request a refund Opens another site in a new window that may not meet accessibility guidelines Refunds for seats, bags and extras If you paid for seats, bags or other extras and don't use them because you didn't travel as planned, you may request a refund.
[aa_force_majeure] greater than 12 hours) Ancillary services that customers paid for but didn't receive due to no fault of their own, when we become aware that the service is not available. Additionally, we promptly refund a customer with a disability if they inform us they do not wish to travel because of: A downgrade to a lower cabin that results in one or more accessibility features needed by the customer becoming unavailable A change of connecting airport A change to a different aircraft on which an accessibility feature available on the original aircraft needed by the customer is not available If the customer with a disability does not wish to travel for one of these reasons, we’ll also refund individuals traveling on the same reservation who inform us they do not wish to travel without the customer with a disability. Read our Refunds FAQs for additional information. Refunds FAQs Refundable tickets If you bought a refundable ticket, decide not to travel and want a refund, we'll pay: The full amount of the ticket if travel hasn't started The value of the unused travel if the ticket is partially used We'll refund the original credit card within 7 days (allow 1-2 billing",True
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,rag,2,0.0,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_non_refundable', 'aa_refund_eligibility']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,rag,2,0.7,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_non_refundable', 'aa_refund_eligibility']","REFUND

The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
